timestamp,comment,changes,build_state,tests_passed,tests_run,username_hash,lab
2019-01-10T01:19:57Z,"Update README.md

fixed readme",8,passed,2147483647,2147483647,63717453c62cabdc95b1357180229d83,lab1
2019-01-10T01:18:57Z,updated everything,4,passed,2147483647,2147483647,63717453c62cabdc95b1357180229d83,lab1
2019-01-10T01:13:57Z,updated readme and uncomment getgreet method,6,,-1,-1,63717453c62cabdc95b1357180229d83,lab1
2019-01-10T01:13:34Z,Update README.md,4,failed,-1,-1,63717453c62cabdc95b1357180229d83,lab1
2019-01-10T01:11:05Z,updated readme and uncommented getGreet method,7,,-1,-1,63717453c62cabdc95b1357180229d83,lab1
2019-01-10T01:00:34Z,Update README.md,4,failed,-1,-1,63717453c62cabdc95b1357180229d83,lab1
2018-12-25T06:38:12Z,lab 1 template,364,failed,-1,-1,63717453c62cabdc95b1357180229d83,lab1
2019-01-14T03:08:17Z,Update README.md,2,passed,2147483647,2147483647,bbf1dcb119b50489abcca68d39ae65e5,lab1
2019-01-14T02:57:41Z,a summary of the changes,6,passed,2147483647,2147483647,bbf1dcb119b50489abcca68d39ae65e5,lab1
2018-12-25T06:38:12Z,lab 1 template,364,failed,-1,-1,bbf1dcb119b50489abcca68d39ae65e5,lab1
2019-01-11T19:15:32Z,Update README.md,2,passed,2147483647,2147483647,130d28d5ea9b9301d046b2a2134fa78f,lab1
2019-01-11T18:57:45Z,uncomment getGreet method and update readme,0,passed,2147483647,2147483647,130d28d5ea9b9301d046b2a2134fa78f,lab1
2019-01-10T21:40:13Z,uncomment getGreet method and update readme,2,,-1,-1,130d28d5ea9b9301d046b2a2134fa78f,lab1
2019-01-10T21:22:05Z,Update README.md,4,failed,-1,-1,130d28d5ea9b9301d046b2a2134fa78f,lab1
2018-12-25T06:38:12Z,lab 1 template,364,failed,-1,-1,130d28d5ea9b9301d046b2a2134fa78f,lab1
2019-01-13T03:31:59Z,Update HelloWorld.java,2,passed,2147483647,2147483647,88dbaa988ae1c5f30d8002a8c6a3f6fb,lab1
2019-01-10T22:59:02Z,Update README.md,2,failed,-1,-1,88dbaa988ae1c5f30d8002a8c6a3f6fb,lab1
2019-01-10T22:44:26Z,uncomment getGreet method and update readme,16,failed,-1,-1,88dbaa988ae1c5f30d8002a8c6a3f6fb,lab1
2019-01-10T22:19:13Z,Update README.md,2,failed,-1,-1,88dbaa988ae1c5f30d8002a8c6a3f6fb,lab1
2019-01-10T22:17:51Z,Update HelloWorld.java,12,failed,-1,-1,88dbaa988ae1c5f30d8002a8c6a3f6fb,lab1
2019-01-10T21:53:36Z,Update README.md,4,failed,-1,-1,88dbaa988ae1c5f30d8002a8c6a3f6fb,lab1
2018-12-25T06:38:12Z,lab 1 template,364,failed,-1,-1,88dbaa988ae1c5f30d8002a8c6a3f6fb,lab1
2019-01-11T00:41:06Z,Update README.md,4,passed,2147483647,2147483647,5239a564c6ee70bcdc34ce6d6b72c70d,lab1
2019-01-11T00:18:52Z,uncomment getGreet method and update readme,2,passed,2147483647,2147483647,5239a564c6ee70bcdc34ce6d6b72c70d,lab1
2019-01-11T00:11:43Z,"uncomment
getGreet method and update readme",6,passed,2147483647,2147483647,5239a564c6ee70bcdc34ce6d6b72c70d,lab1
2018-12-25T06:38:12Z,lab 1 template,364,failed,-1,-1,5239a564c6ee70bcdc34ce6d6b72c70d,lab1
